Brand,Country,Industry,Current_Score,Volatility,Trend_Slope,Inflation_Performance,Cluster_Name
Radisson Blu,FI,Hotels,61.1010785548126,7.372727107365233,0.9306273131774578,-2.147735153584236,👑 The Royals
HAK,NL,Food,61.0874811861664,11.791109654384085,-6.105337370014732,,📉 The Sliders
Finlandia,FI,Beverage,61.0797304295425,6.4731081501949035,-2.3963019309344338,,👑 The Royals
IKEA,FI,Furniture & Decoration - Stores,60.79480698234201,8.030172173610113,1.2916320239276826,4.023992067573509,👑 The Royals
Bergans of Norway,NO,Clothes & Fashion - Brands,60.77699250081031,8.262391565433548,-0.13603956640170078,,👑 The Royals
Kivra,SE,Digital Services,60.66056572735362,8.53390310910836,1.7949519983692224,,👑 The Royals
Rituals,NL,Beauty,60.559741141542524,8.376952788543786,0.2847489925792641,,👑 The Royals
Campina,NL,Food,60.52903154190168,9.924069657876524,-0.3406408122393053,,👑 The Royals
St1,FI,Fuel,60.4154709227935,5.308056886157676,1.1377420597600272,-2.1315636847865846,👑 The Royals
Skånemejerier,SE,Food,60.30387312679074,6.881237718218313,-1.1057090148377517,-4.947922609549849,👑 The Royals
Motonet,FI,E-commerce,60.21653935368647,4.07109537821456,1.03602965352721,,👑 The Royals
Stockmann,FI,Clothes & Fashion - Stores,60.03681716875315,8.424513945121893,0.31357605212698275,-10.30725409063183,👑 The Royals
Gilde,NO,Food,60.03623278363375,8.12334586471695,1.012624668368248,8.423043808898314,👑 The Royals
Rabobank,NL,Banks,60.026529659486194,6.5162093083115975,-0.5450188073186035,,👑 The Royals
Jungle Juice Bar,FI,"Restaurants, Cafes & Take-away",59.95746213934302,11.341030819965546,-2.7725876939615093,,☁️ The Strugglers
PostNord,FI,Parcels & Logistics,59.85360545705502,8.289731924378039,3.401895893391277,,👑 The Royals
Sporveien,NO,Passenger Transport,59.73868745119887,7.489512577578659,-3.988104696733997,,👑 The Royals
Alepa,FI,Grocery Stores,59.61552803686387,8.115245010454705,1.7971021300221917,3.574472400460664,👑 The Royals
Elo,FI,Insurance & Pension,59.57046260505694,10.59497360824975,3.477132318890403,,👑 The Royals
Rynkeby,DK,Beverage,59.56692388143347,9.48589140930063,1.4241528616812875,0.018858346652177005,👑 The Royals
Salling Group,DK,Consumer Goods Corporations,59.40620391097973,6.926690186061903,2.1574376637775567,,👑 The Royals
Scandic Hotels,NO,Hotels,59.302277823521464,9.824378111497897,1.0083074227791582,9.402406281085717,👑 The Royals
POP Pankki,FI,Banks,59.20332818000795,7.036226951517353,0.5954900000427509,-6.417284374281962,👑 The Royals
Connexxion,NL,Mobility,59.15685969117125,10.030701378844691,1.4263851215851497,,👑 The Royals
SuperBrugsen,DK,Grocery Stores,58.98702874766546,,,,Unclassified
Coop,NO,Consumer Goods Corporations,58.948382468931484,10.780029413433843,0.045337197441397914,-5.974086271938454,👑 The Royals
Leksands Knäckebröd,SE,Food,58.946081719613034,5.546508473060298,-1.7593746727317736,,👑 The Royals
KLP (Kommunal Landspensjonskasse),NO,Insurance & Pension,58.936145714322905,11.404143458447487,2.1182405228715204,15.11778242278703,👑 The Royals
SpareBank 1,NO,Banks,58.91247866326776,8.908322367205825,1.1213343915158538,9.677779146985145,👑 The Royals
Tetra Pak,SE,Other,58.91167014091374,4.9276608427767625,0.856925599485587,,👑 The Royals
Blocket,SE,E-commerce,58.9007715900832,7.77960390794787,1.9127202526395135,16.12946646699315,👑 The Royals
Fairy,FI,Hygiene & Cleaning,58.69014802304806,6.121122194452866,-5.055712223380869,,🚀 The Climbers
Bregott,SE,Food,58.60561426609661,0.18763967005694726,0.26536256623374754,,🚀 The Climbers
bol.com,NL,E-commerce,58.33537303834644,11.454249808893467,1.8782747947946778,,👑 The Royals
FrieslandCampina,NL,Consumer Goods Corporations,58.069156377140686,11.521555362074341,-1.0493181834360465,,☁️ The Strugglers
Netto,DK,Grocery Stores,58.002837967645114,11.414576675199351,1.9660744382266084,9.965844002286072,👑 The Royals
Willys,SE,Grocery Stores,57.977680842485256,9.910078297565335,2.1455664067069855,19.188143232121583,👑 The Royals
Tokmanni,FI,Hobby & Leisure,57.95846755189948,10.610903925940487,2.933285949776701,,👑 The Royals
Norrøna,NO,Clothes & Fashion - Brands,57.80147301269558,8.060633526704855,1.0108616568336244,,👑 The Royals
SL,SE,Passenger Transport,57.77953076948371,2.6270938955316647,0.16348959753863582,0.7545537838892216,🚀 The Climbers
OnniBus,FI,Passenger Transport,57.752029043781086,7.508948640351335,0.9314232948372748,,👑 The Royals
Metroen,DK,Passenger Transport,57.7452787144294,8.571460453140105,1.347311486133063,,👑 The Royals
Matas,DK,Beauty,57.27216689532055,10.526219852822706,1.4757609186363678,0.8240773056658419,👑 The Royals
Tradera,SE,E-commerce,57.251621282948776,9.803105531128717,2.5232302340462605,21.495410972333325,👑 The Royals
INTERSPORT,FI,Clothes & Fashion - Stores,57.24081751255113,9.182121672801351,2.5712776645829685,,👑 The Royals
